Kennziffer;Raumeinheit;Aggregat;Krankenhausbetten;Ärzte je  Einwohner;Einwohner je Arzt;Hausärzte;Allgemeinärzte;Internisten;Kinderärzte;Apotheken;Entwicklung Krankenhausbetten
"06438";"Offenbach";"Landkreis";"2,00";"11,9";"843,4";"5,6";"4,0";"0,7";"4,5";"25,3";"9,9"
"06439";"Rheingau-Taunus-Kreis";"Landkreis";"4,11";"11,6";"859,9";"5,8";"4,1";"0,7";"4,4";"25,7";"-3,8"
"06440";"Wetteraukreis";"Landkreis";"4,43";"12,1";"829,7";"6,2";"4,6";"0,7";"3,6";"21,0";"6,2"
"06531";"Gießen";"Landkreis";"8,79";"15,4";"651,4";"6,3";"5,1";"1,2";"5,2";"27,0";"5,1"
"06532";"Lahn-Dill-Kreis";"Landkreis";"7,04";"14,0";"716,0";"6,7";"4,7";"1,1";"4,4";"25,6";"3,2"
"06533";"Limburg-Weilburg";"Landkreis";"5,80";"13,1";"764,3";"6,0";"4,4";"1,0";"4,3";"30,8";"1,8"
"06534";"Marburg-Biedenkopf";"Landkreis";"6,21";"14,5";"689,5";"6,6";"4,5";"1,1";"5,6";"32,1";"-3,7"
"06535";"Vogelsbergkreis";"Landkreis";"6,34";"12,2";"818,9";"6,4";"4,4";"0,8";"2,3";"24,4";"-11,6"
"06611";"Kassel, Stadt";"krsfr. Stadt";"13,23";"22,1";"453,1";"6,7";"4,7";"1,5";"6,8";"32,4";"5,1"
"06631";"Fulda";"Landkreis";"6,64";"14,0";"713,1";"6,7";"4,5";"0,9";"4,9";"26,6";"2,0"
"06632";"Hersfeld-Rotenburg";"Landkreis";"8,25";"13,0";"766,5";"6,9";"4,6";"0,7";"4,4";"26,4";"4,9"
"06633";"Kassel";"Landkreis";"4,02";"11,8";"845,3";"6,3";"4,4";"0,5";"4,3";"25,4";"-12,4"
"06634";"Schwalm-Eder-Kreis";"Landkreis";"3,55";"11,7";"856,7";"6,4";"4,9";"0,7";"3,5";"27,7";"0,5"
"06635";"Waldeck-Frankenberg";"Landkreis";"10,75";"13,4";"748,8";"6,6";"4,6";"1,0";"4,4";"26,7";"2,6"
"06636";"Werra-Meißner-Kreis";"Landkreis";"5,82";"11,7";"856,8";"6,3";"4,5";"0,8";"2,5";"26,7";"-2,2"
"07111";"Koblenz, Stadt";"krsfr. Stadt";"17,66";"25,2";"396,7";"7,1";"5,3";"2,9";"10,1";"33,4";"13,1"
"07131";"Ahrweiler";"Landkreis";"5,89";"14,5";"689,4";"6,4";"4,7";"1,2";"3,8";"26,4";"-16,8"
"07132";"Altenkirchen (Westerwald)";"Landkreis";"2,99";"11,7";"852,9";"6,5";"4,2";"0,5";"4,6";"24,8";"0,0"
"07133";"Bad Kreuznach";"Landkreis";"6,09";"13,1";"764,8";"6,5";"4,7";"0,9";"4,8";"26,7";"0,0"
"07134";"Birkenfeld";"Landkreis";"8,30";"12,6";"791,5";"6,8";"5,2";"0,4";"3,1";"29,7";"0,0"
"07135";"Cochem-Zell";"Landkreis";"7,19";"11,8";"844,7";"6,2";"5,8";"1,1";"4,0";"32,4";"2,1"
"07137";"Mayen-Koblenz";"Landkreis";"3,53";"11,0";"912,6";"5,8";"4,5";"0,8";"3,2";"22,5";"-23,4"
"07138";"Neuwied";"Landkreis";"8,88";"12,9";"773,0";"6,2";"4,7";"0,9";"5,2";"26,4";"7,6"
"07140";"Rhein-Hunsrück-Kreis";"Landkreis";"4,33";"11,8";"850,7";"6,8";"5,4";"0,9";"2,2";"22,3";"-1,5"
"07141";"Rhein-Lahn-Kreis";"Landkreis";"8,15";"12,0";"832,5";"6,2";"5,1";"0,7";"1,9";"25,3";"-0,3"
"07143";"Westerwaldkreis";"Landkreis";"2,66";"11,3";"885,6";"6,0";"4,5";"0,5";"3,3";"21,9";"0,2"
"07211";"Trier, Stadt";"krsfr. Stadt";"13,88";"22,9";"436,6";"5,9";"4,5";"1,9";"7,7";"38,2";"-7,2"
"07231";"Bernkastel-Wittlich";"Landkreis";"4,43";"12,9";"773,3";"6,3";"5,3";"0,6";"2,0";"24,1";"-0,4"
"07232";"Eifelkreis Bitburg-Prüm";"Landkreis";"6,12";"10,4";"962,9";"5,4";"3,8";"0,7";"2,2";"25,5";"-7,0"
"07233";"Vulkaneifel";"Landkreis";"3,82";"11,9";"843,1";"6,4";"5,3";"0,5";"4,0";"23,1";"9,4"
"07235";"Trier-Saarburg";"Landkreis";"2,50";"10,0";"996,9";"5,7";"4,7";"0,5";"3,8";"24,2";"0,0"
"07311";"Frankenthal (Pfalz), Stadt";"krsfr. Stadt";"6,50";"18,2";"550,2";"6,8";"4,5";"2,1";"13,3";"35,1";"0,0"
"07312";"Kaiserslautern, Stadt";"krsfr. Stadt";"11,56";"20,8";"481,6";"5,8";"4,1";"2,4";"9,9";"38,1";"-2,4"
"07313";"Landau in der Pfalz, Stadt";"krsfr. Stadt";"18,35";"22,7";"440,9";"6,3";"3,5";"2,2";"5,2";"41,0";"5,2"
"07314";"Ludwigshafen am Rhein, Stadt";"krsfr. Stadt";"12,22";"18,9";"529,9";"6,4";"3,6";"1,7";"6,6";"32,0";"4,0"
"07315";"Mainz, Stadt";"krsfr. Stadt";"10,68";"19,9";"503,8";"6,2";"4,6";"2,0";"10,1";"32,5";"2,0"
"07316";"Neustadt an der Weinstraße, Stadt";"krsfr. Stadt";"6,84";"20,8";"480,7";"6,6";"4,9";"2,8";"4,3";"33,7";"-9,9"
"07317";"Pirmasens, Stadt";"krsfr. Stadt";"10,64";"21,2";"472,5";"8,1";"4,4";"1,7";"5,9";"51,7";"4,1"
"07318";"Speyer, Stadt";"krsfr. Stadt";"12,88";"20,6";"485,1";"6,3";"4,7";"2,0";"4,5";"33,4";"3,2"
"07319";"Worms, Stadt";"krsfr. Stadt";"8,43";"16,5";"606,4";"6,1";"4,7";"1,6";"6,7";"36,1";"0,0"
"07320";"Zweibrücken, Stadt";"krsfr. Stadt";"6,36";"17,2";"580,8";"5,8";"2,0";"0,9";"7,0";"32,1";"-20,9"
"07331";"Alzey-Worms";"Landkreis";"4,83";"11,2";"892,5";"6,3";"4,9";"0,5";"3,9";"24,1";"-1,9"
"07332";"Bad Dürkheim";"Landkreis";"3,93";"10,5";"955,0";"6,1";"5,0";"0,6";"4,2";"25,6";"1,6"
"07333";"Donnersbergkreis";"Landkreis";"2,70";"10,7";"938,8";"5,9";"4,3";"0,4";"3,0";"21,3";"14,0"
"07334";"Germersheim";"Landkreis";"2,50";"10,6";"944,7";"6,1";"4,0";"0,5";"3,4";"24,9";"0,3"
"07335";"Kaiserslautern";"Landkreis";"5,03";"12,6";"794,4";"6,8";"5,3";"0,3";"4,1";"26,5";"-4,3"
"07336";"Kusel";"Landkreis";"0,00";"10,7";"931,1";"6,1";"4,9";"0,4";"3,5";"26,8";
"07337";"Südliche Weinstraße";"Landkreis";"6,35";"9,9";"1.014,9";"6,5";"5,4";"0,0";"4,2";"28,0";"1,1"
"07338";"Rhein-Pfalz-Kreis";"Landkreis";"0,00";"8,9";"1.121,4";"5,7";"4,4";"0,2";"3,4";"27,3";
"07339";"Mainz-Bingen";"Landkreis";"1,64";"12,9";"777,0";"6,3";"4,8";"0,4";"4,0";"24,8";"-3,1"
"07340";"Südwestpfalz";"Landkreis";"2,38";"7,3";"1.363,9";"6,4";"5,1";"0,3";"2,7";"29,3";"-8,1"
"08111";"Stuttgart, Stadt";"krsfr. Stadt";"7,91";"17,4";"575,2";"6,1";"3,4";"1,1";"6,1";"25,0";"-2,4"
"08115";"Böblingen";"Landkreis";"2,85";"11,6";"861,8";"5,5";"3,9";"0,6";"4,2";"23,1";"0,0"
"08116";"Esslingen";"Landkreis";"3,56";"12,3";"814,1";"5,7";"3,7";"0,7";"4,5";"23,7";"-4,7"
"08117";"Göppingen";"Landkreis";"4,87";"11,8";"848,8";"5,7";"3,4";"0,7";"4,2";"28,9";"-7,3"
"08118";"Ludwigsburg";"Landkreis";"3,20";"12,2";"819,7";"5,9";"3,5";"0,6";"4,8";"20,6";"-1,0"
"08119";"Rems-Murr-Kreis";"Landkreis";"3,15";"11,7";"853,2";"5,6";"3,9";"0,8";"4,9";"23,1";"0,7"
